startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbail,type,group,backgroundUrl,backgroundColor
,,,,,,,,,EMAKUMEEN KIROL BILAKAERA,,,,,,title,,,#F0C6E5
-2500,,,,,,,,,Tsu Chu,Tsu Chu izeneko jokoaren aldaera zahar bat zegoen jokoan.,https://historyofsoccer.info/wp-content/uploads/2022/04/Tsu_Chu.webp,,,,,,#F0C6E5
-580,,,,,,,,,Joko Hereoak,"Hereo Jokoak K.a. 580. urteaz geroztik ospatzen hasi ziren, eta, horren ondorioz, emakumeen lehen atletismo-lehiaketa sortu zen.",https://historia.nationalgeographic.com.es/medio/2023/02/06/suma-sacerdotisa-en-el-momento-de-encender-el-pebetero-en-el-templo-de-zeus-olimpico-olimpia_c24024e8_230206111911_1280x943.jpg,,,,,,#F0C6E5
1100,,,,,,,,,Astapenak emakumeen kirolean,"Ohikoa zen emakumeek pilota jokoak jokatzea, batez ere Frantzian eta Eskozian.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-uevXpFD6H0oSB69XJBqHF6q4fpAiOyQQVQ&s,,,,,,#F0C6E5
1863,,,,,,,,,Jokuko arauak ezarri,"Joko-indarkeria saihesteko arauak zehaztu ziren, betiere emakumeentzat sozialki onargarria bazen.",,,,,,,#F0C6E5
1892,,,,,,,,,Lehen futbol partida,"Glasgow hirian, Eskozian, emakumeen arteko lehen futbol partida erregistratu zen.",https://billiken.lat/wp-content/uploads/2023/05/image-193-1024x593.png,,,,,,#F0C6E5
1894,,,,,,,,,British Ladies Football Club,"Nettie Honeyball, emakumearen eskubideen aldeko ekintzailea, British Ladies Football Club izeneko lehen kirol elkartea sortu zuenean.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdpozYvW9i6N8jpUJMs7_Ix65J1nVW4zo5jA&s,,,,,,#F0C6E5
1900,,,,,,,,,Lehen JJOO emakumeen partaidetza,"Emakumeen parte-hartzea Justizia Batzordeetan. OO. ofizialki hasi zen Olinpiada modernoen bigarren edizioan, 1900. urtean Parisen ere ospatu zirenak. 997 atletetatik 22 emakumezkoak izan ziren, bost diziplinatan lehiatuz: tenisa, bela, crocketa, hipika eta golfa.
",https://piks.eldesmarque.com/bin/juegosolimpicos/stories/Historia/1900Paris/charlotte.jpg,,,,,,#F0C6E5
1902,,,,,,,,,Emakumezkoen taldeen aurka jokatzea debekatu,"1902an, Ingalaterrako Futbol Federazioak emakumeen futbola eta emakumezkoen taldeen aurka jokatzea debekatu zuen.
",https://serhistorico.net/wp-content/uploads/2018/07/blyth_spartans_with_cup-e1531840362266.jpg?w=780,,,,,,#F0C6E5
1914,,,,,,,,,Lehen mundu gerra,"Lehen Mundu Gerra giltzarri izan zen Ingalaterrako emakumezkoen futbolaren masifikazioan. Gizon asko gudu zelaira atera zirenez, emakumea lan indarrean sartu zen masiboki.
",https://i.blogs.es/1a167b/las-mujeres-fueron-claves-en-la-muy-necesitada-industria-artillera/450_1000.jpg,,,,,,#F0C6E5
1918,,,,1971,,,,,English Ladies Football Association eta futbolaren debekua,"Gerraren amaieran, FAk ez zuen emakumezkoen futbola ezagutu, arrakasta handia lortu zuen arren. Horren ondorioz, English Ladies Football Association sortu zen, eta hasiera zailak izan zituen, FAren boikotaren ondorioz, Errugbiko kantxetan eta FAn afiliatuta ez zeuden beste batzuetan jokatzera ere eraman baitzituen.
",https://donmouth.co.uk/womens_football/images/1922_stoke_ladies_with_cup.jpg,,,,,,#F0C6E5
1921,,,,,,,,,Estadioak uztea debekatu,"1921ean, klubei ukatu egin zitzaien estadioak uztea emakumezko futbolarientzat partida publikoak jokatzeko.
",https://ichef.bbci.co.uk/ace/ws/624/amz/worldservice/live/assets/images/2014/12/18/141218105339__79634801_dk3.jpg.webp,,,,,,#F0C6E5
1937,,,,,,,,,Britainia Handiko eta Munduko Txapelketa,"1937an, Dick, Kerr's Ladies taldeak Edimburgh Ladiesekin jokatu zuen ""Britainia Handiko eta Munduko Txapelketan"", emakumezkoen futboleko nazioarteko lehen partida izanik.
",https://upload.wikimedia.org/wikipedia/en/6/67/1921_Dick%2C_Kerr%27s_Ladies.jpg,,,,,,#F0C6E5
1966,,,,,,,,,Munduko futbol kopa,"1966ko Munduko Futbol Koparen ostean, zaleen interesa hazi egin zen.",https://upload.wikimedia.org/wikipedia/commons/8/8b/Argentina_germania_1966.JPG,,,,,,#F0C6E5
1969,,,,,,,,,Emakumeen futbola berriro onartu,"FAk 1969an erabaki zuen emakumeen futbola berriro hartzea, FAren emakumezkoen adarra sortu ondoren.",https://elfutbolymasalla.com/wp-content/uploads/2023/01/balon-femenino-foto-lavozdigital.jpg,,,,,,#F0C6E5
1970,,,,,,,,,Emakumezkoen lehen nazioarteko partida,"1970ean, emakumezkoen futboleko lehen nazioarteko partida antolatu zen Italian, eta hainbat herrialdetako ordezkariak joan ziren bertara, gonbidapen bidez.
",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHAt_tTnOyQ5DWzo9kEBmZv_MYMdhZqtLZ2Q&s,,,,,,#F0C6E5
1970,12,8,,,,,,,Emakumeen arteko lehen partida Espainian,Rafael Mugak espainian jokatu zen emakumeen arteko lehen partida antolatu zuen. Boetticher estadioan jokatu zen 1970ean (Villaverde – Madril).,https://s1.elespanol.com/2023/08/18/reportajes/787682033_235460495_1706x960.jpg,,,,,,#F0C6E5
1971,2,21,,,,,,,Espainiako selekzioaren lehen partida,"
1971ko otsailaren 21ean jokatu zen Espainiako emakumezkoen selekzioaren lehen partida.
",https://www.mundodeportivo.com/files/image_449_220/uploads/2021/02/23/60e6fd9866d26.jpeg,,,,,,#F0C6E5
1971,,,,,,,,,UEFAk emakumeen futbola kudeatu eta sustatu,"1971n, UEFAk emakumeen futbolaren kudeaketa eta sustapena eskatu zien bere bazkideei, eta hurrengo urteetan sendotu egin zen. Hala, Italiak, Estatu Batuek eta Japoniak liga profesional lehiakorrak dituzte, eta horien ospeak ez dio inbidiarik sortzen gizonezkoen jarraitzaileei.
",https://i0.wp.com/es.rollingstone.com/wp-content/uploads/2024/02/Copa-71-el-mundial-femenino-olvidado-por-la-historia-del-futbol.jpg?w=1280&ssl=1,,,,,,#F0C6E5
